id_area_raw,codigo_area,nome_area,gestor_responsavel,email_gestor,ingestion_id,ingestion_ts,source_system,source_entity,row_seq,raw_row_hash
1,COM,Comercial,  lucas pereira  ,lucas.pereira@empresa.com,74e07e6f-fb37-4586-bc14-ac66ab23dfe5,2026-01-10T08:00:00.000Z,ERP_CORPORATIVO,departamentos,1,8c8a24a1558e62f7a9a78cbbd3b6db2f87640b91b3a3fbc9c5c21c2475a6dbae
2,COMP,COMPLIANCE,Daniela Souza,daniela.souza@empresa.com,74e07e6f-fb37-4586-bc14-ac66ab23dfe5,2026-01-10T08:00:00.000Z,ERP_CORPORATIVO,departamentos,2,7e935c34352efbbc9366b3bd4f50c00e26ebcc210cb8039537760ee3a95d512c
3,FIN,Financeiro,ANA OLIVEIRA,ana.oliveira@empresa.com,74e07e6f-fb37-4586-bc14-ac66ab23dfe5,2026-01-10T08:00:00.000Z,ERP_CORPORATIVO,departamentos,3,4149c88d980f49c7f75b64c67c1d44901abfc0e8a5711cf179a80f7ff80c2769
4,JUR,JURÍDICO,Patrícia Mendes,patricia.mendes@empresa.com,74e07e6f-fb37-4586-bc14-ac66ab23dfe5,2026-01-10T08:00:00.000Z,ERP_CORPORATIVO,departamentos,4,2804f3d945402d684e22781736e8ba58bc4bd6febd517bdbecc6852982632fde
5,MKT,Marketing,Juliana Costa,juliana.costa@empresa.com,74e07e6f-fb37-4586-bc14-ac66ab23dfe5,2026-01-10T08:00:00.000Z,ERP_CORPORATIVO,departamentos,5,457f1037dcf85f29f487ab783912a072f64035207f31177fc33fc578329dbdc4
6,OP,OPERAÇÕES,Sandra Nunes,SANDRA.NUNES@EMPRESA.COM,74e07e6f-fb37-4586-bc14-ac66ab23dfe5,2026-01-10T08:00:00.000Z,ERP_CORPORATIVO,departamentos,6,e5d84f1a0641b47faca7bca912214d4d731378c8db47790e1386f3c2c620dedc
7,RH,  recursos humanos  ,  fernanda lima  ,FERNANDA.LIMA@EMPRESA.COM,74e07e6f-fb37-4586-bc14-ac66ab23dfe5,2026-01-10T08:00:00.000Z,ERP_CORPORATIVO,departamentos,7,11f559e775e78d6e4c4d33e4a90f2cc8674bb1cb1d1c95ae5e4c25582a0f5780
8,TI,  tecnologia da informação  ,Ricardo Almeida,ricardo.almeida@empresa.com,74e07e6f-fb37-4586-bc14-ac66ab23dfe5,2026-01-10T08:00:00.000Z,ERP_CORPORATIVO,departamentos,8,87264bf53ab358d1429993f62264b22c7e132750197dae998e054b39d5596cc4
9,ADM,Administração,Carlos Silva,carlos.silva@empresa.com,74e07e6f-fb37-4586-bc14-ac66ab23dfe5,2026-01-10T08:00:00.000Z,ERP_CORPORATIVO,departamentos,9,4a89775bfa74b17957d31ee2c5741450671bdbf4c54fee6095768ea6924438b5
10,CTB,Contabilidade,Ricardo .,ricardo.ferreira@empresa.com,74e07e6f-fb37-4586-bc14-ac66ab23dfe5,2026-01-10T08:00:00.000Z,ERP_CORPORATIVO,departamentos,10,be72792b101629bb26d79863ba0aeb022d6cc50c204c1060bfe151b2d1497fdd
11,LOG,Logística,Paulo Rodrigues,paulo.rodrigues@empresa.com,74e07e6f-fb37-4586-bc14-ac66ab23dfe5,2026-01-10T08:00:00.000Z,ERP_CORPORATIVO,departamentos,11,d3c5b940ca09f43473ef00276857cdc20d3f5d5b8f6be5860edaea14d51c7221
12,CPT,COMPRAS,camila rocha,camila.rocha@empresa.com,74e07e6f-fb37-4586-bc14-ac66ab23dfe5,2026-01-10T08:00:00.000Z,ERP_CORPORATIVO,departamentos,12,76c155786fb51eb017ddce19eab0b314ce3498ac855216f326275ef90c1d9ff4
13,PJT,Gestão de Projetos,Beatriz Alves,beatriz.alves@empresa.com,74e07e6f-fb37-4586-bc14-ac66ab23dfe5,2026-01-10T08:00:00.000Z,ERP_CORPORATIVO,departamentos,13,99bbdba068d5d7186aec15b184806d041104f97f22c5854fe0891196f80b9933
14,QAS,Qualidade E Auditoria,André Santos,andre.santos@empresa.com,74e07e6f-fb37-4586-bc14-ac66ab23dfe5,2026-01-10T08:00:00.000Z,ERP_CORPORATIVO,departamentos,14,754b6f986d6fbf1a1de49a63ba659c75d6b48e15254dccbc62ede68567aa6500
15,ATD,atendimento ao cliente,Carla Silva,carla.silva@empresa.com,74e07e6f-fb37-4586-bc14-ac66ab23dfe5,2026-01-10T08:00:00.000Z,ERP_CORPORATIVO,departamentos,15,168b727e9b3116f3dc02e7b8ff2d8d8c8d5eb2141a1e941cb585dbd704972623
16,VND,Vendas,Roberto Santos,ROBERTO.SANTOS@EMPRESA.COM,74e07e6f-fb37-4586-bc14-ac66ab23dfe5,2026-01-10T08:00:00.000Z,ERP_CORPORATIVO,departamentos,16,81aed2577b254086ca6372e0156d5d092d2a9b68766253858feb41c608c21f01
17,PES,Pesquisa e Desenvolvimento,Marcos Oliveira,marcos.oliveira@empresa.com,74e07e6f-fb37-4586-bc14-ac66ab23dfe5,2026-01-10T08:00:00.000Z,ERP_CORPORATIVO,departamentos,17,6a2a0664fbc119d61b9c5a483b3cb0ae9a834644edea7eaa81d56fcbfe6320fb
18,PRD,Produto,Felipe Martins,felipe.martins@empresa.com,74e07e6f-fb37-4586-bc14-ac66ab23dfe5,2026-01-10T08:00:00.000Z,ERP_CORPORATIVO,departamentos,18,4c9e6a974c5378a6c2bcbec3feb01365569e593bab9b8c658f3cdbd806044233
19,SEC,SEGURANÇA PATRIMONIAL,JORGE LIMA,jorge.lima@empresa.com,74e07e6f-fb37-4586-bc14-ac66ab23dfe5,2026-01-10T08:00:00.000Z,ERP_CORPORATIVO,departamentos,19,ac85f7e15e9eef7e58da5e3e1e3ded3d7ae772cf801bd723b340eb29b1f8b319
20,ESG,SUSTENTABILIDADE (ESG),Marina.,marina.costa@empresa.com,74e07e6f-fb37-4586-bc14-ac66ab23dfe5,2026-01-10T08:00:00.000Z,ERP_CORPORATIVO,departamentos,20,07bbf50e144d8042d25307270c6a483acab1e791c483658ef1aef09db0be081d
