id_funcionario_raw,nome,cpf,cargo,departamento,data_admissao,salario,tipo_contrato,ingestion_id,ingestion_ts,source_system,source_entity,row_seq,raw_row_hash
1,Leonardo Dias,000.001.100-27,Assistente Administrativo,COM,2021-05-29,3681.6,CLT,d7cc9a21-778a-4a6a-bda9-b675de59df2d,2026-01-10T10:30:00.000Z,ERP_CORPORATIVO,funcionarios,1,b79e14b4f103e3aea2cf55981364640b6501dcc61464df376829733f7e88c03c
2,Viviane Melo,000.002.100-80,Assistente Administrativo,COM,2017-11-26,2247.01,CLT,d7cc9a21-778a-4a6a-bda9-b675de59df2d,2026-01-10T10:30:00.000Z,ERP_CORPORATIVO,funcionarios,2,0f69e0db81fed1de6c8366eb7b638f000806a15ba92702291425317a71e6b56c
3,Igor Nascimento,000.003.100-34,Analista Júnior,COM,2019-01-20,4026.93,PJ,d7cc9a21-778a-4a6a-bda9-b675de59df2d,2026-01-10T10:30:00.000Z,ERP_CORPORATIVO,funcionarios,3,80a1809f1f0e0de9b9f665fa66a36c0687ea3bede9665d8e4dbceb64e483c128
4,Beatriz Teixeira,000.004.100-98,Analista Júnior,COM,2022-08-05,5046.05,ESTAGIO,d7cc9a21-778a-4a6a-bda9-b675de59df2d,2026-01-10T10:30:00.000Z,ERP_CORPORATIVO,funcionarios,4,738a6d007739d36d26201c1defbb14b83a30bf4428f241f96cce38adf4560309
5,Roberto Teixeira,000.005.100-41,Gerente,COM,2016-07-28,12982.84,ESTAGIO,d7cc9a21-778a-4a6a-bda9-b675de59df2d,2026-01-10T10:30:00.000Z,ERP_CORPORATIVO,funcionarios,5,131171d5d488e46f18fe4f5eabf6850975e43db9a50365ea3da8ce630904599d
6,Fernanda Melo,000.006.100-03,Analista Sênior,COM,2019-03-25,10100.66,PJ,d7cc9a21-778a-4a6a-bda9-b675de59df2d,2026-01-10T10:30:00.000Z,ERP_CORPORATIVO,funcionarios,6,40bd3844d07881186fe4894e5cdd37fc87b743bbacaa6ca6a06db8ddddda3b05
7,Natalia Moraes,000.007.100-59,Analista Sênior,COM,2016-04-07,7269.45,CLT,d7cc9a21-778a-4a6a-bda9-b675de59df2d,2026-01-10T10:30:00.000Z,ERP_CORPORATIVO,funcionarios,7,7723921e535ddd6b3db30807b8d9791ee46049e36b3129e774cdd6e4724dbb9b
8,Diego Moreira,000.008.100-02,Gerente,COM,2015-02-20,21606.54,TEMPORARIO,d7cc9a21-778a-4a6a-bda9-b675de59df2d,2026-01-10T10:30:00.000Z,ERP_CORPORATIVO,funcionarios,8,f19f8fe6d78022eeff8b871805c68d1a567e6be6b7b47c0b371d2b15dfd2a071
9,Elaine Oliveira,000.009.100-66,Coordenador(a),COM,2020-12-06,14863.01,CLT,d7cc9a21-778a-4a6a-bda9-b675de59df2d,2026-01-10T10:30:00.000Z,ERP_CORPORATIVO,funcionarios,9,be4bec3241be5506f8b84b2eeff9536fa3987b6f12bd1615d62abe1be3a17c52
10,Pedro Rodrigues,000.010.100-18,Assistente Administrativo,COM,2022-08-25,3138.03,CLT,d7cc9a21-778a-4a6a-bda9-b675de59df2d,2026-01-10T10:30:00.000Z,ERP_CORPORATIVO,funcionarios,10,d2b8f3471550468bd89334789d3321b84ee50bf3fb2156eabc48adf49041bc72
